epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8414,3.60875,22.642,1.6647,0,0,0,0,3.5917,21.2938,2.53306,0.000333333,0.000333333,0.000333333
2,50.6281,3.68482,29.1077,2.09855,0,0,0,0,3.5917,21.2938,2.53306,0.0009901,0.0009901,0.0009901
3,58.89,4.25577,39.0135,2.55372,0,0,0,0,3.5917,21.2938,2.53306,0.00163367,0.00163367,0.00163367
4,71.3172,3.68276,15.2871,1.85143,0,0,0,0,3.5917,21.2938,2.53306,0.0019406,0.0019406,0.0019406
5,83.9407,3.4727,19.7479,1.8374,0,0,0,0,3.5917,21.2938,2.53306,0.0019208,0.0019208,0.0019208
6,98.6202,4.17041,22.4183,2.22013,0,0,0,0,3.5917,21.2938,2.53306,0.001901,0.001901,0.001901
7,110.463,3.78259,32.7059,2.0542,0,0,0,0,3.5917,21.2938,2.53306,0.0018812,0.0018812,0.0018812
8,121.039,3.31383,13.5713,1.72925,0,0,0,0,3.04569,12.9718,2.44062,0.0018614,0.0018614,0.0018614
9,128.196,3.14919,16.9761,1.84746,0,0,0,0,3.04569,12.9718,2.44062,0.0018416,0.0018416,0.0018416
10,133.149,3.49652,16.262,1.67234,0,0,0,0,3.04569,12.9718,2.44062,0.0018218,0.0018218,0.0018218
11,146.072,2.28448,23.4806,1.64843,0,0,0,0,3.04569,12.9718,2.44062,0.001802,0.001802,0.001802
12,155.617,2.76195,22.8256,1.87076,0,0,0,0,3.04569,12.9718,2.44062,0.0017822,0.0017822,0.0017822
13,167.737,3.01864,11.1505,1.88732,0,0,0,0,3.04569,12.9718,2.44062,0.0017624,0.0017624,0.0017624
14,187.469,3.51392,17.7286,2.05072,0,0,0,0,3.04569,12.9718,2.44062,0.0017426,0.0017426,0.0017426
15,201.89,2.80219,11.6565,1.43248,0,0,0,0,3.75356,29.7215,2.11755,0.0017228,0.0017228,0.0017228
16,242.847,2.56923,15.1125,1.53708,0,0,0,0,3.75356,29.7215,2.11755,0.001703,0.001703,0.001703
17,287.268,2.76909,14.5449,1.43664,0,0,0,0,3.75356,29.7215,2.11755,0.0016832,0.0016832,0.0016832
18,308.761,2.28908,15.9097,1.3229,0,0,0,0,3.75356,29.7215,2.11755,0.0016634,0.0016634,0.0016634
19,338.106,2.54267,9.90754,1.32172,0,0,0,0,3.75356,29.7215,2.11755,0.0016436,0.0016436,0.0016436
20,360.839,2.2241,13.4021,1.22909,0,0,0,0,3.75356,29.7215,2.11755,0.0016238,0.0016238,0.0016238
21,371.705,2.73832,10.1823,1.54152,0,0,0,0,3.75356,29.7215,2.11755,0.001604,0.001604,0.001604
22,381.818,2.74849,12.6555,1.46805,0,0,0,0,3.94747,24.665,2.42781,0.0015842,0.0015842,0.0015842
23,389.026,2.9677,13.8394,1.78117,0,0,0,0,3.94747,24.665,2.42781,0.0015644,0.0015644,0.0015644
24,398.602,3.23209,8.06344,2.00483,0,0,0,0,3.94747,24.665,2.42781,0.0015446,0.0015446,0.0015446
25,409.184,2.55047,13.7817,1.2927,0,0,0,0,3.94747,24.665,2.42781,0.0015248,0.0015248,0.0015248
26,421.205,3.10117,12.0098,1.69661,0,0,0,0,3.94747,24.665,2.42781,0.001505,0.001505,0.001505
27,432.398,3.03562,8.82161,1.70733,0,0,0,0,3.94747,24.665,2.42781,0.0014852,0.0014852,0.0014852
28,445.128,2.85135,8.81192,1.59395,0,0,0,0,3.94747,24.665,2.42781,0.0014654,0.0014654,0.0014654
29,457.241,2.65397,7.60405,1.33699,0,0,0,0,3.36986,17.1305,2.68375,0.0014456,0.0014456,0.0014456
30,480.518,2.47668,9.37596,1.4019,0,0,0,0,3.36986,17.1305,2.68375,0.0014258,0.0014258,0.0014258
31,508.902,2.26769,11.4463,1.42846,0,0,0,0,3.36986,17.1305,2.68375,0.001406,0.001406,0.001406
32,522.995,2.62269,9.19029,1.45522,0,0,0,0,3.36986,17.1305,2.68375,0.0013862,0.0013862,0.0013862
33,530.807,2.63688,9.90515,1.4637,0,0,0,0,3.36986,17.1305,2.68375,0.0013664,0.0013664,0.0013664
34,537.347,2.53197,14.86,1.30119,0,0,0,0,3.36986,17.1305,2.68375,0.0013466,0.0013466,0.0013466
35,549.423,2.53291,12.3398,1.46097,0,0,0,0,3.36986,17.1305,2.68375,0.0013268,0.0013268,0.0013268
36,564.172,2.42569,11.0668,1.41821,0,0,0,0,3.3091,11.0693,1.98049,0.001307,0.001307,0.001307
37,592.176,2.68282,9.05822,1.71743,0,0,0,0,3.3091,11.0693,1.98049,0.0012872,0.0012872,0.0012872
38,603.359,2.07895,12.7318,1.31358,0,0,0,0,3.3091,11.0693,1.98049,0.0012674,0.0012674,0.0012674
39,613.076,2.53269,10.4433,1.36891,0,0,0,0,3.3091,11.0693,1.98049,0.0012476,0.0012476,0.0012476
40,623.376,2.76588,9.49133,1.93185,0,0,0,0,3.3091,11.0693,1.98049,0.0012278,0.0012278,0.0012278
41,637.758,2.37611,7.69547,1.51127,0,0,0,0,3.3091,11.0693,1.98049,0.001208,0.001208,0.001208
